id,name_multi,pais,lat,lon,notas
37,محمد العلي,الإمارات,15.40721,-21.25011,معلومات إضافية
38,张敏,الإمارات,59.35912,24.5663,无备注
39,María González,台灣,-16.29642,-118.31126,revisar más tarde
40,يوسف القاسم,中国,-5.73104,-62.78352,ملاحظات قصيرة
41,李娜,España,46.5109,63.10877,简短说明
42,José Rodríguez,Deutschland,14.72756,122.77401,datos confirmados
43,محمد العلي,Argentina,56.72235,-57.38078,تم التأكيد
44,张敏,India,9.20678,78.89701,稍后审核
45,José Rodríguez,中国,18.75226,88.79184,información adicional
46,خالد المنصور,Argentina,28.31663,-108.29253,مراجعة لاحقاً
47,杨帆,المملكة العربية السعودية,67.83121,172.08671,简短说明
48,Lucía Hernández,الإمارات,-1.69176,165.44793,nota breve
49,ليلى الحسن,Australia,4.08922,-43.13961,بدون ملاحظات
50,赵磊,España,65.156,-173.29808,简短说明
51,Sofía Peña,الإمارات,67.61956,-29.91252,nota breve
52,يوسف القاسم,الإمارات,45.7039,-69.68817,ملاحظات قصيرة
53,李娜,مصر,64.05603,92.02062,简短说明
54,Diego Álvarez,Argentina,-45.5828,166.56532,revisar más tarde
55,يوسف القاسم,Россия,22.02914,-92.25602,مراجعة لاحقاً
56,王伟,المملكة العربية السعودية,14.59926,142.13601,无备注
57,María González,Australia,48.03744,-75.98191,nota breve
58,فاطمة الزهراء,日本,-59.8002,-14.80847,معلومات إضافية
59,王伟,مصر,-24.89155,-134.20455,简短说明
60,Lucía Hernández,日本,-7.19928,-60.86765,información adicional
61,أحمد بن سعيد,台灣,9.70398,-119.05658,ملاحظات قصيرة
62,赵磊,España,55.20806,-11.26741,已确认
63,Íñigo Martínez,France,61.92372,43.50022,nota breve
64,محمد العلي,Australia,44.18201,-21.33265,تم التأكيد
65,刘洋,المملكة العربية السعودية,8.7415,-127.05761,简短说明
66,José Rodríguez,France,39.2649,-124.78248,sin observaciones
67,أحمد بن سعيد,Argentina,30.22315,-27.56751,بدون ملاحظات
68,李娜,台灣,20.98844,95.74225,无备注
69,Andrés Jiménez,Argentina,-16.40931,66.60185,revisar más tarde
70,ليلى الحسن,台灣,52.95226,29.20991,معلومات إضافية
71,赵磊,Australia,63.2999,-44.10231,简短说明
72,Diego Álvarez,日本,51.76936,7.42882,nota breve
73,ليلى الحسن,日本,23.53407,-92.45274,مراجعة لاحقاً
74,黄丽,Australia,-34.00341,119.94296,附加信息
75,Sofía Peña,日本,59.95988,35.81154,sin observaciones
76,محمد العلي,México,-40.70758,-147.927,تم التأكيد
77,黄丽,Россия,-51.60817,-49.97211,无备注
78,Diego Álvarez,Australia,40.03265,-153.54602,sin observaciones
79,نور الدين,台灣,27.6669,148.44026,معلومات إضافية
80,黄丽,Deutschland,-12.74363,125.12713,简短说明
81,Núria Castañeda,台灣,-40.8308,-117.43106,información adicional
82,نور الدين,الإمارات,-49.65218,47.91599,بدون ملاحظات
83,张敏,台灣,-42.44729,37.84256,附加信息
84,Íñigo Martínez,台灣,63.59686,143.30826,revisar más tarde
85,خالد المنصور,مصر,49.64665,86.98469,تم التأكيد
86,李娜,المملكة العربية السعودية,-46.79457,103.68475,无备注
87,Lucía Hernández,France,24.64933,-107.57484,sin observaciones
88,خالد المنصور,Argentina,30.5512,-153.10335,تم التأكيد
89,王伟,Deutschland,-52.84579,-82.43925,无备注
90,Sofía Peña,Brasil,62.41997,-103.22278,sin observaciones
91,أحمد بن سعيد,Deutschland,-7.83137,122.97956,بدون ملاحظات
92,陈静,España,-58.19577,50.55313,已确认
93,María González,India,29.28857,-165.89289,información adicional
94,ليلى الحسن,Россия,60.80814,169.97432,ملاحظات قصيرة
95,陈静,France,53.83206,113.97233,附加信息
96,Andrés Jiménez,مصر,-52.36963,133.98233,nota breve
97,زينب الخليل,Australia,-7.5845,59.814,تم التأكيد
98,杨帆,Россия,-33.38825,66.55873,稍后审核
99,Diego Álvarez,المملكة العربية السعودية,-25.40844,154.39563,revisar más tarde
100,نور الدين,Argentina,54.34036,-88.64652,معلومات إضافية
101,陈静,台灣,7.83103,122.67642,无备注
102,María González,台灣,-26.21764,145.1832,sin observaciones
103,محمد العلي,Australia,-18.2778,-145.89215,بدون ملاحظات
104,赵磊,日本,-13.56421,-105.37124,简短说明
105,José Rodríguez,日本,57.56733,-2.9954,datos confirmados
106,نور الدين,中国,-24.34087,-53.97425,معلومات إضافية
107,黄丽,Brasil,36.55947,110.30525,附加信息
108,Diego Álvarez,India,46.67809,-149.31429,revisar más tarde
109,محمد العلي,日本,60.36752,-10.09896,تم التأكيد
110,陈静,Argentina,65.96345,-22.08618,附加信息
111,Andrés Jiménez,日本,6.37326,55.58914,nota breve
112,نور الدين,India,-3.02712,-154.12142,ملاحظات قصيرة
113,李娜,台灣,-25.91341,97.40257,简短说明
114,Núria Castañeda,台灣,-51.00662,-27.9663,datos confirmados
115,أحمد بن سعيد,Россия,43.53273,76.2479,تم التأكيد
116,张敏,Brasil,-31.03512,102.5776,稍后审核
117,Núria Castañeda,España,-38.80412,85.3474,nota breve
118,فاطمة الزهراء,Россия,-52.29251,-69.14252,بدون ملاحظات
119,陈静,France,6.68866,-123.58447,无备注
120,José Rodríguez,中国,-18.15257,-37.37412,datos confirmados
121,فاطمة الزهراء,Australia,-20.17239,-127.53068,بدون ملاحظات
122,黄丽,台灣,-27.35372,34.57098,稍后审核
123,José Rodríguez,Deutschland,-33.96555,-31.83223,revisar más tarde
124,خالد المنصور,中国,-42.23312,160.75454,بدون ملاحظات
125,王伟,Argentina,-6.57944,-84.39426,附加信息
126,Íñigo Martínez,España,-44.04517,68.57694,revisar más tarde
127,أحمد بن سعيد,中国,-57.42146,-126.1131,بدون ملاحظات
128,陈静,مصر,-56.80597,13.6629,已确认
129,Íñigo Martínez,México,47.25222,99.58336,información adicional
130,زينب الخليل,France,-9.90652,-22.10878,معلومات إضافية
131,王伟,المملكة العربية السعودية,26.94303,-57.59648,简短说明
132,Lucía Hernández,France,59.97189,-154.29461,sin observaciones
133,خالد المنصور,México,42.83435,-50.5938,ملاحظات قصيرة
134,王伟,الإمارات,-3.20019,162.41826,稍后审核
135,Lucía Hernández,France,14.86828,-16.06715,sin observaciones
136,يوسف القاسم,المملكة العربية السعودية,58.122,70.2964,معلومات إضافية
137,王伟,India,-48.12137,-60.10766,无备注
138,Lucía Hernández,Australia,-31.84692,64.92359,datos confirmados
139,ليلى الحسن,中国,37.8863,-150.69973,مراجعة لاحقاً
140,王伟,الإمارات,-13.51471,-163.91057,稍后审核
141,Núria Castañeda,India,57.93173,-2.35021,revisar más tarde
142,يوسف القاسم,Argentina,31.13085,126.1468,تم التأكيد
143,赵磊,France,15.46318,-12.50162,简短说明
144,José Rodríguez,الإمارات,57.7367,46.57278,nota breve
145,ليلى الحسن,日本,66.59141,-42.30593,تم التأكيد
146,张敏,Australia,45.86213,-171.9961,附加信息
147,María González,日本,34.92579,175.50443,revisar más tarde
148,أحمد بن سعيد,España,-4.53678,-120.16396,بدون ملاحظات
149,陈静,المملكة العربية السعودية,-31.02956,149.85532,简短说明
150,Núria Castañeda,Australia,-12.1255,-134.16337,revisar más tarde
